image_url,price,artist,title,date
https://d32dm0rphc51dk.cloudfront.net/K7AitUMjp7zM9hwi2IGrMQ/larger.jpg,"US$2,900",Deb Komitor,Olde World Charm,2022
https://d32dm0rphc51dk.cloudfront.net/n43-1BNCetHVy_fCR19p2Q/larger.jpg,US$125,"R.W. ""Rudy"" Beerens",Marilyn Monroe,2021
https://d32dm0rphc51dk.cloudfront.net/re4CaDU2Ca969RQpFr3F3w/larger.jpg,"US$3,000",Holly Osborne,Teary Garden Gnome,2024
https://d32dm0rphc51dk.cloudfront.net/6DNaykqGlJV0Noss9OYT_g/larger.jpg,"US$6,000",Rick Prol,Red Moon,2022
https://d32dm0rphc51dk.cloudfront.net/7hxg7I-nkydaLyhYMabpvg/larger.jpg,US$525,Amber Goldhammer,You Are My Hero,2024
https://d32dm0rphc51dk.cloudfront.net/dhNiuuvl9Nm_xpkSAqmVRQ/larger.jpg,"US$7,500",Shana Levenson,Inner Peace,2023
https://d32dm0rphc51dk.cloudfront.net/Cv6IDkQo2GKNbteF3K43tg/larger.jpg,US$300,Tiziano Marasco,V√≠tkov Bike Trail,2023
https://d32dm0rphc51dk.cloudfront.net/9DIXVAbVue00u3UVnfDD4g/larger.jpg,"US$6,500",Hunt Slonem,Ascension Scarlet,2024
https://d32dm0rphc51dk.cloudfront.net/_QMih3eJhrdDZlVsceJ6Dw/larger.jpg,"US$1,400",Bill Mead,Cross my Heart,2023
https://d32dm0rphc51dk.cloudfront.net/FVI_Z3Gx3MVqaJqI9lELMA/larger.jpg,"£1,495",Craig Alan,Better Together,2024
https://d32dm0rphc51dk.cloudfront.net/rU6ebmsMg_jY9Mywx1uUvA/larger.jpg,"US$6,500",Hunt Slonem,Daisy Upstate,2024
https://d32dm0rphc51dk.cloudfront.net/f_UCsQNc3u89PceKl7aD4Q/larger.jpg,US$250,Juan Sanabria,Smiley Sunflower,2024
https://d32dm0rphc51dk.cloudfront.net/QHSPYYdNQZQ_Rm7FinKPuQ/larger.jpg,"US$3,650",Bernhard Zimmer,AWH 315,2024
https://d32dm0rphc51dk.cloudfront.net/tO3JmjtTI1XlBuWTt3gKJw/larger.jpg,"£8,000",Nancy Fouts,"Il Bacio (After H. P Hayez),",2012
https://d32dm0rphc51dk.cloudfront.net/61clQaHGKVT0jRL9BnBeLg/larger.jpg,"US$2,700",Tamar Zinn,"Unseen Voices, 28",2023
https://d32dm0rphc51dk.cloudfront.net/pZMzIJXj_X1OUWM0GVkhWw/larger.jpg,US$125,Louis Recchia,Lost in Space,2021
https://d32dm0rphc51dk.cloudfront.net/QFRsJn6Qw1xuZA_oyKDlIw/larger.jpg,"US$4,400",Debra Lott,Standing Together,2018
https://d32dm0rphc51dk.cloudfront.net/YYgFIyHYaMjEGs-AwJ7kKw/larger.jpg,"US$6,500",Hunt Slonem,Maddy,2024
https://d32dm0rphc51dk.cloudfront.net/PLkLm34Tw-svYlQo3z5-sw/larger.jpg,US$350,Matthew Crumpton,The Stranger,2024
https://d32dm0rphc51dk.cloudfront.net/-r5AyzOBXqutcyKoD9TDXQ/larger.jpg,"US$1,340",Maya Eventov,Untitled,2022
https://d32dm0rphc51dk.cloudfront.net/r5SgT4-i-lgKp5p9GRCuEQ/larger.jpg,"US$3,800",Adam Handler,Midnight Ghost Abduction  üëª UNIQUE,2023
